Full Title,Edition,Short Title,Series,Creator,Contributors,Publication Date,Map Publisher,Subject,Continent,Country,State/Province,Region,County,City,Notes,Local Note,Contents,Essay Description of Item,Type (RDA),Type (DCMI),Genre,Color/B&W,Scale,Bounding Box,Original Collection,Primo Record Permalink,Original Item Description,Original Item ID,Language,Repository,Digital Publisher,Rights,Digital ID,Digital Format,Digital Collection,NB,Accessible Alt Text,Cataloger,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Density of forests / compiled under the direction of C.S. Sargent,,"Wisconsin, Minnesota, Michigan, Iowa, 1883, density of forests",,"Sargent, Charles Sprague, 1841-1927",United States. Dept. of the Interior; Julius Bien & Co.,1883,"Dept. of the Interior [Washington, D.C.]",Forests and forestry--Michigan--Maps; Forests and forestry--Wisconsin -- Maps; Forests and forestry--Minnesota--Maps; Forests and forestry--Iowa--Maps,North and Central America;,,Michigan; Wisconsin; Minnesota; Iowa,,,,"Relief shown by shading. In upper right margin: ""Tenth census of the United States.""",,,,cartographic image,Still Image,,Color,"1:4,118,40 (W 100 00'--W 80 00'/N 49 00'--N 40 00')",,American Geographical Society Library - Maps,,1 map : color ; 25 x 37 cm.,893 E-1883,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am003003,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","An 1883 map by C. S. Sargent illustrates forest density in parts of Michigan, Wisconsin, Minnesota, and Iowa.",,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/70,70,62.jp2,/agdm/image/62.jp2
"Topographic map of the Island of Kauai, Kauai County, Hawaii / surveyed by the U.S. Geological Survey in cooperation with the Territory of Hawaii",,"Kauai (Hawaii) 1912, topographic map",,Geological Survey (U.S.),,1912,"Washington, D.C. : Geological Survey (U.S.) [Washington, D.C.]",Kauai (Hawaii)--Maps,North and Central America;,,Hawaii,,Kauai county,,"Relief shown by contours and spot heights. ""R. B. Marshall, Chief Geographer""; ""Topography by C.H. Birdseye, Geo. R. Davis ... O.G. Taylor, and W.H. Barringer""; surveyed in 1910. Includes location map, ""The Hawaiian Islands.""",,,,cartographic image,Still Image,,Color,"1:62,500. (W 159 50'--W 159 15'/N 22 15'--N 21 50')",,American Geographical Society Library - Maps,,"1 map on 2 sheets : color ; on sheets 84 x 54 cm., 75 x 97 cm.",762-c .K38 A-1912,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001984,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",A 1912 U.S. Geological Survey topographic map shows Kauai's terrain and key features.,,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/115,115,107.jp2,/agdm/image/107.jp2
"The Hawaiian Islands / compiled from official records of the U.S. Navy Department, U.S. Post Office Department and other sources under the direction of the Secretary of the Interior and the U.S. Geological Survey ; A.F. Hassan, draftsman",,Hawaiian Islands 1909,,,"Hassan, A. F.; United States. Navy Dept.; United States. Post Office Dept.; Geological Survey (U.S.)",1909,"Washington, D.C. : Geological Survey (U.S.) (Washington, D.C.)","Alaska-Yukon-Pacific Exposition (1909 : Seattle, Wash.);  Hawaii--Maps, Physical",North and Central America;,,Hawaii;,,,,"Relief shown by shading and spot heights. At head of title: Hawaii Exhibit, Alaska-Yukon-Pacific Exposition, Seattle Washington 1909.",,,,cartographic image,Still Image,,Color,"1:700,000 (W 160 30'--W 154 30'/N 22 20'--N 18 55')",,American Geographical Society Library - Maps,,"1 map : mounted on linen, color ; 59 x 97 cm.",762 A-1909,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001925,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 1909 relief map presents the Hawaiian Islands during Seattle's Alaska-Yukon-Pacific Exposition, showing key island groups.",,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/192,192,183.jp2,/agdm/image/183.jp2
"Topographic map of Yosemite National Park, California / from Geological Survey maps surveyed between 1893 and 1909",,"Yosemite National Park (California) 1920, topographic map",,Geological Survey (U.S.),,1920,The Survey [Washington],"Yosemite National Park (Calif.)--Maps, Topographic",North and Central America;,,California;,,Maricopa county,,Relief shown by contours and spot heights.,,,,cartographic image,Still Image,,Color,"1:125,000 (W 120 00'--W 119 00'/N 38 15'--N 37 30')",,American Geographical Society Library - Maps,,1 map : color ; 67 x 71 cm.,800-b E-Nat Pk .Y57 1920,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001772,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 1920 Yosemite National Park(topographic) map shows elevation, rivers, trails, and park boundaries based on 1893-1909.",,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/208,208,197.jp2,/agdm/image/197.jp2
"Map of Yosemite Valley, Yosemite National Park, California, Mariposa County / United State Department of the Interior, Geological Survey ; E.M. Douglas, geographer",,Yosemite Valley (California) 1938,,Geological Survey (U.S.),"Douglas, Edward Morehouse, 1855-1932; Matthes, Francois, 1874-1948",1938,"The Survey (Washington, D.C.)","Yosemite Valley (Calif.)--Maps, Physical; Yosemite National Park (Calif.)--Maps, Physical",North and Central America;,,California;,,Mariposa county,,"Relief shown by contours, shading, and spot heights. ""Partial revision in 1934."" Includes ""Index map"" and table of ""Elevations of principal points."" On verso: ""The story of the Yosemite Valley,"" by F.E. Matthes (with photos).",,,,cartographic image,Still Image,,Color,"1:24,000 ; Polyconic proj. (W 119 43' 40""--W 119 30' 00""/N 37 47' 05""--N 37 42' 00"")",,American Geographical Society Library - Maps,,1 map : color ; 40 x 89 cm.,800-b E-Nat Pk .Y57 1938,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001770; am001771,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2016-06-30,2016-06-30,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/225,225,217.cpd,/agdm/image/217.cpd
"Map of [California] / U.S. Dept. of Agriculture, Bureau of Public Roads, Irrigation Investigations.  Map of Northern California. Map of Central California. Map of Southern California. [Relief ed.]",,California 1922,,United States. Bureau of Public Roads,"Scobey, Fred C. (Frederick Charles), 1880-1962; Bowen, Lot; Renshawe, John H.; California. Dept. of Engineering; University of California (1868-1952). College of Agriculture; California. State Water Commission",1922,"Bureau of Public Roads (Washington, D.C.)",California--Maps; Irrigation--California--Maps,North and Central America;,,California;,,,,"Relief shown by shading. All maps include an index map. Bodies of water shown in blue. Southern map includes inset: Owens valley and tributary watershed. ""Revised and redrawn 1920 in cooperation with California State Dept. of Engineering; College of Agriculture, University of California; California State Water Commission."" ""Mapping by Fred C. Scobey and Lot Bowen. Relief shading by John H. Renshawe.""",,,,cartographic image,Still Image,,Grayscale,"1:514,000 (W 124 25'--W 119 90'/N 42 00'--N 37 80'); 1:506,880. (W 122 60'--W 116 70'/N 38 90'--N 34 70');  1:514,000 (W 120 80'--W 114 07'/N 36 50'--N 32 32')",,American Geographical Society Library - Maps,,3 maps ; on sheets 109 x 131 cm.,813 E-1922c,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001760; am001761; am001762,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2016-06-30,2016-06-30,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/232,232,224.cpd,/agdm/image/224.cpd
"Map of [California] / U.S. Dept. of Agriculture, Bureau of Public Roads, Irrigation Investigations.  Map of Northern California. Map of Central California.  Map of Southern California",,California 1922,,United States. Bureau of Public Roads,,1922,"Bureau of Public Roads (Washington, D.C.)",California--Maps; Irrigation--California--Maps,North and Central America;,,California;,,,,"All maps include an index map. Bodies of water shown in blue. Southern map includes inset: Owens valley and tributary watershed. ""Revised and redrawn 1920 in cooperation with California State Dept. of Engineering; College of Agriculture, University of California; California State Water Commission."" ""Mapping by Fred C. Scobey and Lot Bowen.""",,,,cartographic image,Still Image,,Grayscale,"1:514,000 (W 124 25'--W 119 90'/N 42 00'--N 37 80'); 1:506,880 (W 122 60'--W 116 70'/N 38 90'--N 34 70');  1:514,000 (W 120 80'--W 114 07/N 36 50'--N 32 32')",,American Geographical Society Library - Maps,,3 maps ; on sheets 109 x 127 cm or smaller.,813 E-1922d,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001763; am001764; am001765,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2016-06-30,2016-06-30,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/236,236,228.cpd,/agdm/image/228.cpd
"Irrigation map of [California] / U.S. Dept. of Agriculture, Bureau of Public Roads, Irrigation Investigations",,"California 1922, irrigation map",,United States. Bureau of Public Roads,"Scobey, Fred C. (Frederick Charles), 1880-1962; Bowen, Lot; California. Dept. of Engineering; University of California (1868-1952). College of Agriculture; California. State Water Commission",1922,"Bureau of Public Roads (Washington, D.C.)",Irrigation--California--Maps,North and Central America;,,California;,,,,"All maps include an index map. Southern map includes inset: Owens valley and tributary watershed. Shows agricultural areas, irrigated areas, irrigation canals, boundaries of U.S. Reclamation Service projects and Irrigation Districts, principal hydroelectric plants, U.S. Geological Survey and private stream gauging stations, and rainfall stations. ""Revised and redrawn 1920 in cooperation with California State Dept. of Engineering; College of Agriculture, University of California; California State Water Commission."" ""Mapping by Fred C. Scobey and Lot Bowen. Field platting of irrigated lands by Wells A. Hutchins, S.H. Becket, H.A. Wadsworth and C.F. Dunshee""--Northern and Central maps. ""Mapping by Fred C. Scobey and Lot Bowen. Field platting of irrigated lands by Wells A. Huchins, H.F. Blaney and H.A. Wadsworth""--Southern map.",,,,cartographic image,Still Image,,Color,"1:514,000 (W 124 25'--W 119 90'/N 42 00'--N 37 80'); 1:506,880 (W 122 60'--W 116 70'/N 38 90'--N 34 70');  1:514,000 (W 120 80'--W 114 07'/N 36 50'--N 32 32')",,American Geographical Society Library - Maps,,3 maps : color ; on sheets 109 x 131 cm or smaller.,813 E-1922a,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001754; am001755; am001756,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2016-06-30,2016-06-30,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/240,240,232.cpd,/agdm/image/232.cpd
"Irrigation map of [California] / U.S. Dept. of Agriculture, Bureau of Public Roads, Irrigation Investigations. Irrigation map of Northern California.  Irrigation map of Central California.  Irrigation map of Southern California. [Relief ed.]",,"California 1922, irrigation map",,United States. Bureau of Public Roads,,1922,"Bureau of Public Roads (Washington, D.C.)",Irrigation--California--Maps,North and Central America;,,California;,,,,"Relief shown by shading. All maps include an index map. Southern map includes inset: Owens valley and tributary watershed. Shows agricultural areas, irrigated areas, irrigation canals, boundaries of U.S. Reclamation Service projects and Irrigation Districts, principal hydroelectric plants, U.S. Geological Survey and private stream gauging stations, and rainfall stations. ""Revised and redrawn 1920 in cooperation with California State Dept. of Engineering; College of Agriculture, University of California; California State Water Commission."" ""Mapping by Fred C. Scobey and Lot Bowen. Field platting of irrigated lands by Wells A. Hutchins, S.H. Becket, H.A. Wadsworth and C.F. Dunshee. Relief shading by John H. Renshawe""--Northern and Central maps. ""Mapping by Fred C. Scobey and Lot Bowen. Field platting of irrigated lands by Wells A. Huchins, H.F. Blaney and H.A. Wadsworth. Relief shading by John H. Renshawe""--Southern map.",,,,cartographic image,Still Image,,Color,"1:514,000 (W 124 25'--W 119 90'/N 42 00'--N 37 80'); 1:506,880 (W 122 60'--W 116 70'/N 38 90'--N 34 70');  1:514,000 (W 120 80'--W 114 07'/N 36 50'--N 32 32')",,American Geographical Society Library - Maps,,3 maps : color ; on sheets 108 x 127 cm.,813 E-1922b,English;,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001757; am001758; am001759,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2016-06-30,2016-06-30,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/244,244,236.cpd,/agdm/image/236.cpd
"Map of Yosemite Valley, Yosemite National Park, California, Mariposa County",,Yosemite Valley (California) 1946,,Geological Survey (U.S.),,1946,"Washington, D.C. : Geological Survey (U.S.) (Washington, D.C.)","Yosemite Valley (Calif.)--Maps, Physical",North and Central America;,,California;,,Mariposa county,,"Relief shown by shading, contours and spot heights. Includes ""Index map"" and table of ""Elevations of principal points."" On verso: ""The story of the Yosemite Valley,"" by F.E. Matthes, and illustrations",,,,cartographic image,Still Image,,Color,"1:24,000 or 1 in. = 2000 ft. ; Polyconic proj. (W 119 43' 40""--W 119 30' 00""/N 37 47' 05""--N 37 42' 00"")",,American Geographical Society Library - Maps,,1 map : color ; 40 x 89 cm.,800-b E-Nat Pk .Y57 1946,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am001768; am001769,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2016-06-30,2016-06-30,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/250,250,242.cpd,/agdm/image/242.cpd
