File,Full Title,Edition,Short Title,Series,Creator,Contributors,Publication Date,Map Publisher,Subject,Continent,Country,State/Province,Region,County,City,Geometry,Notes,Local Note,Contents,Essay Description of Item,Type (RDA),Type (DCMI),Genre,Color/B&W,Scale,Bounding Box,Original Collection,Primo Record Permalink,Original Item Description,Original Item ID,Language,Repository,Digital Publisher,Rights,Digital ID,Digital Format,Digital Collection,NB,Accessible Alt Text,Cataloger,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
20260817_agdm-export_Bbox-Subset.csv,Chorographia Terrae Sanctae in angustiorem formam redacta et ex variis auctoribus amultis erroribus expurgata,,Holy Land Maps #93,,"Tirinus, Jacobus, 1580-1636","Menochio, Giovanni Stefano, 1575-1655;Tournemine, René Joseph de, 1661-1739;",1771,,Twelve tribes of Israel -- Maps -- Early works to 1800; Pilgrims and pilgrimages in the Bible -- Maps -- Early works to 1800; Palestine -- Maps -- Early works to 1800; Palestine -- History -- To 70 A.D. -- Maps -- Early works to 1800; Jerusalem -- Maps -- Early works to 1800; Bible. Old Testament -- Geography -- Maps -- Early works to 1800,Asia;,,,,,,Asia;,"Copper engraving, hand colored.; Relief shown pictorially.; Map of the Holy Land that includes the territories of the twelve tribes on both sides of the Jordan River and the route of the Exodus and Wandering.; Printed on two sheets joined together.; Compass rose oriented with north toward the lower left.; Scale bar with measuring calipers reads ""Miliaria unus horae.""; Inset: oval bird's-eye plan of ancient Jerusalem inside a decorative border with a letter key to the principal monuments.; This map is very colorful with extensive illustrations and ornamentation including the Menorah candlestick, shekel coins, Arc of Covenant, altar of sacrifices, etc. The map is surrounded by 16 vignettes of the biblical objects and sacred places of Judaism.; At bottom left is a plan of Solomon's Temple and at bottom right is an artist view of the Temple.; ""Men: Tom. III pag.151"" in the upper right corner of the margin.; Geographic coordinates are estimated based on a modern map of the area.; The map is a later version of the Tirinus map originally published in Commentarius in Vetus et Novum Testamentum 1632.; From: Giovanni Stefano Menochio's book, R.P. Joannis Stephanii Menochii doctoris theologi commentarii totius sacrae scripturae...tomus III, 1771 in Latin. Revised by René Joseph Tournemine.; From the Maps of the Holy Land collection of Kenneth Nebenzahl.",,,,cartographic image,Still Image,,Color,"1:750,000",E 30°--E 38°/N 34°--N 29°,American Geographical Society Library - Maps,,"1 map : colored ; 30 x 79 cm, on sheet 35 x 88 cm",(AGS)  Holy Land Maps 93,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am020950,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 17th-century biblical map shows the Holy Land with Jerusalem, the Twelve Tribes' territories, and key pilgrimage routes.",,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/4333,4333,4328.jp2,/agdm/image/4328.jp2
20260817_agdm-export_Bbox-Subset.csv,"An international travel map, Argentina : scale 1:4,000,000",,Argentina 1995,,Multi Mapping Ltd.; ITMB Publishing Ltd.,,1995,International Travel Maps (Firm),National parks and reserves -- Argentina -- Maps; Argentina -- Maps,South America;,Argentina; Chile,,,,,Argentina; Chile,"Relief shown by contours, gradient tints, and spot heights.; Legend in English, French, German, and Spanish.; Panel title.; Copyright: 1995 ITMB Pub.; Copyright: Design and cartography: Multi Mapping Ltd. ... Vancouver, B.C ...; Includes text, indexes to protected areas, lists of abbreviations and geographical equivalents, location map, and publisher's index map.; Publisher's no.: 235.",,,,cartographic image,Still Image,,Color,,W 81⁰--W 50⁰/S 21⁰--S 57⁰,American Geographical Society Library - Maps,,"1 map : color ; on sheet 98 x 69 cm, folded to 25 x 12 cm",251 A-1995,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am007600,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 1:4 million scale map of Argentina showing its national parks, reserves, and major geographic areas like mountains.",,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6584,6584,6617.jp2,/agdm/image/6617.jp2
20260817_agdm-export_Bbox-Subset.csv,Abyssinia / published Jany. 4 1828 by Saml. Arrowsmith,,Ethiopia 1828,,,,1828,"Arrowsmith, Samuel, 1839;",Ethiopia -- Maps ; Eritrea -- Maps;,Africa,Ethiopia ; Eritrea,,,,,Ethiopia ; Eritrea,"Relief shown by hachures. Includes note and small table. ""36"" -- upper right margin.",,,,cartographic image,Still image,Maps;,Color,"1:3,900,000",E 37°00ʹ00ʺ--E 42°00ʹ00ʺ/N 17°00ʹ00ʺ--N 8°00ʹ00ʺ,American Geographical Society Library - Maps,,1 map : color ; 31 x 23 cm,351 A-1828,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am013779,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",Samuel Arrowsmith's 1828 map of Abyssinia displays its 19th-century boundaries and waterways.,,2018-10-18,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/17542,17542,17542.jp2,/agdm/image/17542.jp2
20260817_agdm-export_Bbox-Subset.csv,Map of the countries situated between the Rivers Nile and Indus; serving as an index to the work on the Expedition for the Survey of the Euphrates and Tigris drawn from materials furnished by Lieut. Colonel Chesney ; by J.&C. Walker ; published by Longman & Co.,,Central Asia 1837 1868,,,,1837 ; 1868,[London] : Longman & Co.,Euphrates River Valley  --  Discovery and exploration  --  British  --  Maps ; Steam-navigation -- Euphrates River  --  History  --  19th century  --  Maps ; Euphrates River Valley  --  Maps ; Tigris River Valley  --  Maps ; Middle East  --  Description and travel ;,Africa; Asia,Egypt ; Saudi Arabia; Turkey;,,,,,Egypt ; Saudi Arabia; Turkey;,"Relief shown by hachures.  Includes list of provinces.  From: Narrative of the Euphrates expedition carried on by order of the British government during the years 1835, 1836, and 1837 by General Francis Rawdon Chesney, 1868.",,,,cartographic image,Still image,Maps;,Color,"1:7,000,000",E 25°00ʹ00ʺ--E 80°00ʹ00ʺ/N 45°00ʹ00ʺ--N 14°00ʹ00ʺ,American Geographical Society Library - Maps,,1 map : color ; 62 x 74 cm,401 A-1837 [1868],English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am013686,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",An 1868 map traces Lieutenant Colonel Chesney's Euphrates and Tigris River expeditions.,,2018-10-19,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/17607,17607,17580.jp2,/agdm/image/17580.jp2
20260817_agdm-export_Bbox-Subset.csv,"Nubia &c / published Jany. 4, 1828 by Saml. Arrowsmith",,Sudan 1828,,"Arrowsmith, Sameul, -1742",,1828,London : Samuel Arrowsmith,Nile River Valley -- Maps ; Sudan -- Maps ; Egypt -- Maps,Africa,Egpyt ; Sudan,,,,,Egpyt ; Sudan,"Relief shown by hachures. Includes note and inset map ""The River Nile from Cairo to Es souan."" ""35"" -- top right margin.",,,,cartographic image,Still image,Maps;,Color,"1:6,000,000",E 26°00ʹ00ʺ--E 38°00ʹ00ʺ/N 23°00ʹ00ʺ--N 9°00ʹ00ʺ,American Geographical Society Library - Maps,,1 map : color ; 32 x 24 cm,317 A-1828,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am013862,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","Pre-1828 map of Nubia, Egypt, and Sudan highlights the Nile River Valley with colored political borders and landmark.",,2018-10-19,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/17637,17637,17634.jp2,/agdm/image/17634.jp2
20260817_agdm-export_Bbox-Subset.csv,In Notitiam Ecclesiasticam Africae tabula Geographica auctore G. de l'Isle ; Joan. Bap. Liebaux,,"Africa, north 1780",,,,1780,,Africa -- Maps; Europe -- Maps,Africa; Europe,,,,,,Africa; Europe,Relief shown pictorially. Includes text and decorative cartouches.,,,,cartographic image,Still image,Maps;,Color,"1:4,500,000",W 11°28ʹ00ʺ--E 21°26ʹ00ʺ/N 44°15ʹ00ʺ--N 26°00ʹ00ʺ,American Geographical Society Library - Maps,,1 map : colored ; 47 x 62 cm,300-c .N6 B-1780,Latin,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am013531,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","Map by G. de l'Isle (18th century) titled In Notitiam Ecclesiasticam, illustrating ecclesiastical districts across Africa.",,2018-10-22,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/17729,17729,17676.jp2,/agdm/image/17676.jp2
20260817_agdm-export_Bbox-Subset.csv,Arabia with the adjacent countries of Egypt & Nubia / published by D. Lizars,,Arabian Peninsula 1831,,"Lizars, Daniel  1760-1812;",,1831,John Hamilton,Arabian Peninsula -- Maps;,Asia; Africa,Egypt ; Saudi Arabia; Yemen; Oman,,,,,Egypt ; Saudi Arabia; Yemen; Oman,"Hand colored engraved map. Relief shown by hachures. Shows settlements, caravan routes, oases, etc. XLVII in upper left margin.  From: The Edinburgh geographical and historical atlas, 1831.",,,"Removed from: The Edinburgh geographical and historical atlas, comprehending a sketch of the history of geography ... and history of each continent, state, and kingdom, delineated. And a tabular view of the principal mountain chains in the World. Engraved on sixty-nine copperplates, and compiled from materials drawn from the newest and most authentic sources. Edinburgh: Published by John Hamilton, 15, South St. Andrew Street, successor to Daniel Lizars; Whittaker, Treacher, & Co., Ave-Maria Lane, London; and W. Curry, Jun. & Co., Dublin. (1831?) (with text bound separately)",cartographic image,Still image,Maps;,Color;,"1:6,500,000",E 280--E 600/N 340--N 100,American Geographical Society Library - Maps,https://wisconsin-uwm.primo.exlibrisgroup.com/permalink/01UWI_ML/1t3p5iu/alma991014695231002124,1 map : color ; 39 x 50 cm,416 A-[1831],English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am014024,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","An 1831 D. Lizars map shows the Arabian Peninsula, Egypt, and Nubia.",,2018-11-13,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/19492,19492,19505.jp2,/agdm/image/19505.jp2
20260817_agdm-export_Bbox-Subset.csv,L'Empire du Grand Mogol / par N. Sanson,,India and Bangladesh 1652,,"Sanson, Nicolas, 1600-1667",,1652,[Paris] : N. Sanson,India -- Maps; Bangladesh -- Maps,Asia,India; Bangladesh,,,,,India; Bangladesh,"Copper engraved double page, hand colored in outline map of Mogol Empire, with decorative cartouche. Showing political boundaries, major cities, towns, villages, rivers, mountains, drainage, etc. Relief shown pictorially.  Included in: L'Asie en plusieurs cartes nouvelles, et exactes; & en divers traittes de geographie, et d'histoire. La ou sont descripts succinctement, & avec une belle methode, & facile ses empires, ses monarchies, ses estats, &c. les moeurs, les langues, les religions, les richesses de ses peuples, &c. Et ce qu'il y a de plus beau, & de plus rare dans toutes ses parties, & dans ses isles. Par N. Sanson d' Abbeville, Geographe Ordinaire du Roy. A Paris, Chez l'Autheur, dans le cloistre de Sainct Germain l'Auxerrois, joignant la grande porte du cloistre. Avec privilege pour vingt Ans.",,,,cartographic image,Still image,Maps;,Color;,"1:250,000",E 60°38ʹ00ʺ--E 81°36ʹ00ʺ/N 36°27ʹ00ʺ--N 21°44ʹ00ʺ,American Geographical Society Library - Maps,,1 map : colored ; 18.0 x 23.4 cm,430-c .N6 B-[1652],French,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am014375,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",Description: Grand Mogol Empire map by Nicolas Sanson from 1652 showing parts of India and Bangladesh.,,2018-11-13,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/19512,19512,19527.jp2,/agdm/image/19527.jp2
20260817_agdm-export_Bbox-Subset.csv,Stand der Kaarteering van den Nederlandsch-Indischen Archipel.,,Dutch East Indies 1933,,Netherlands.  Topografische Dienst;,,1933,Netherlands. Topografische Dienst;,Asia -- Maps; Southeast Asia -- Maps; Indonesia -- Maps; Roads -- Indonesia -- Maps;,Asia;,Indonesia;,,Southeast Asia; East Indies; Dutch East Indies;,,,Southeast Asia; East Indies; Dutch East Indies;,Map in Dutch. State of surveys; in Jaarverslag v.d. Topografischen Dienst in Ned. Indie over 1932. 28 jaargang.,,,,cartographic image,Still image,Maps,Color;,"1:10,000,000",E 94°46ʹ00ʺ--E 141°01ʹ00ʺ/N 6°16ʹ00ʺ--S 11°12ʹ00ʺ,American Geographical Society Library - Maps,,1 map : color ; 20 x 52 cm,450 J-1933,dutch,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am009335,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",A 1933 Dutch colonial map of the Dutch East Indies uses color to show regional administrative divisions.,,2019-05-16,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/23433,23433,23410.jp2,/agdm/image/23410.jp2
20260817_agdm-export_Bbox-Subset.csv,"1783, Manhattan Island at the close of the revolution : showing the American city with its landmarks and the revolutionary fortifications on the island / by Townsend MacCoun.",,"Manhattan, New York 1783 1909",,"MacCoun, Townsend, 1845-1932;",L.L. Poates Engr'g Co;,1909; 1783,New York : Townsend MacCoun;,"New York (N.Y.) -- History -- Revolution, 1775-1783 -- Maps ; Manhattan (New York, N.Y.) -- History -- Maps;",North and Central America;,,New York;,Manhattan (borough);,New York County;,New York City;,New York City;,"Relief shown by shading.  Reconstructs the topography and street plan of the period, including fortifications.  Engraved by: L.L. Poates Engr'g Co., N.Y.  Names of major features printed in red. Compliments of The Underpinning and Foundation Co., Engineers and Contractors 290 Broadway, Specialists in difficult foundations.""  Received January 3, 1913 gift from publisher",,,,cartographic image,Still image,Maps,Color;,"1:20,000",(W 74°01ʹ--W 73°55ʹ/N 40°53ʹ--N 40°42ʹ),American Geographical Society Library - Maps,,1 map : color ; 32 x 124 cm,862.1 B-1783 1909,English,"American Geographical Society Library, University of Wisconsin-Milwaukee",American Geographical Society Library Digital Map Collection,The Board of Regents of the University of Wisconsin System,agsmap028612 (s1-s2),image/tif; image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,LRP,2021-12-15,2024-11-25,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/31119,31119,31136.cpd,/agdm/image/31136.cpd
