File,Full Title,Edition,Short Title,Series,Creator,Contributors,Publication Date,Map Publisher,Subject,Continent,Country,State/Province,Region,County,City,Notes,Local Note,Contents,Essay Description of Item,Type (RDA),Type (DCMI),Genre,Color/B&W,Scale,Bounding Box,Original Collection,Primo Record Permalink,Original Item Description,Original Item ID,Language,Repository,Digital Publisher,Rights,Digital ID,Digital Format,Digital Collection,NB,Accessible Alt Text,Cataloger,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
20260817_agdm-export_Bbox-Subset.csv,Chorographia Terrae Sanctae in angustiorem formam redacta et ex variis auctoribus amultis erroribus expurgata,,Holy Land Maps #93,,"Tirinus, Jacobus, 1580-1636","Menochio, Giovanni Stefano, 1575-1655;Tournemine, René Joseph de, 1661-1739;",1771,,Twelve tribes of Israel -- Maps -- Early works to 1800; Pilgrims and pilgrimages in the Bible -- Maps -- Early works to 1800; Palestine -- Maps -- Early works to 1800; Palestine -- History -- To 70 A.D. -- Maps -- Early works to 1800; Jerusalem -- Maps -- Early works to 1800; Bible. Old Testament -- Geography -- Maps -- Early works to 1800,Asia;,,,,,,"Copper engraving, hand colored.; Relief shown pictorially.; Map of the Holy Land that includes the territories of the twelve tribes on both sides of the Jordan River and the route of the Exodus and Wandering.; Printed on two sheets joined together.; Compass rose oriented with north toward the lower left.; Scale bar with measuring calipers reads ""Miliaria unus horae.""; Inset: oval bird's-eye plan of ancient Jerusalem inside a decorative border with a letter key to the principal monuments.; This map is very colorful with extensive illustrations and ornamentation including the Menorah candlestick, shekel coins, Arc of Covenant, altar of sacrifices, etc. The map is surrounded by 16 vignettes of the biblical objects and sacred places of Judaism.; At bottom left is a plan of Solomon's Temple and at bottom right is an artist view of the Temple.; ""Men: Tom. III pag.151"" in the upper right corner of the margin.; Geographic coordinates are estimated based on a modern map of the area.; The map is a later version of the Tirinus map originally published in Commentarius in Vetus et Novum Testamentum 1632.; From: Giovanni Stefano Menochio's book, R.P. Joannis Stephanii Menochii doctoris theologi commentarii totius sacrae scripturae...tomus III, 1771 in Latin. Revised by René Joseph Tournemine.; From the Maps of the Holy Land collection of Kenneth Nebenzahl.",,,,cartographic image,Still Image,,Color,"1:750,000",E 30°--E 38°/N 34°--N 29°,American Geographical Society Library - Maps,,"1 map : colored ; 30 x 79 cm, on sheet 35 x 88 cm",(AGS)  Holy Land Maps 93,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am020950,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 17th-century biblical map shows the Holy Land with Jerusalem, the Twelve Tribes' territories, and key pilgrimage routes.",,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/4333,4333,4328.jp2,/agdm/image/4328.jp2
20260817_agdm-export_Bbox-Subset.csv,"A map of the Holy Land : chiefly accommodated to those books of Iosephus which contain the history of the Old Testament / dedicated to the Right Reverend Father in God, Thomas Lord Bishop of Rochester by Edward Wells, M.A. student of Ch. Church in Oxford",,Holy Land Maps #97,,"Wells, Edward, 1667-1727","Sprat, Thomas, 1635-1713; L'Estrange, Roger, Sir, 1616-1704; Josephus, Flavius",1725?,,Twelve tribes of Israel -- Maps -- Early works to 1800; Palestine -- History -- Maps -- Early works to 1800; Palestine -- Maps -- Early works to 1800; Bible. Old Testament -- Geography -- Maps -- Early works to 1800,,,,,,,"Copper engraving.; Relief shown pictorially.; Title and dedication to [Thomas Sprat], Bishop of Rochester in decorative cartouche with emblem of Rochester above.; Scale below decorative measuring map calipers.; Map shows the coastal region from Syria through Galilea, Samaria, Judea, Pera to the western portion of the Red Sea. The Dead Sea is named Asphaltitis Lake and the two smaller lakes shown along the Jordan River to the North do not exist, (Laor).; Map is missing latitude lines on right side of map.; ""Place this pag. 52.""; Appears in Works of Flavius Josephus translated into English by Sir Roger L'Estrange, [London : 1725].; From the Maps of the Holy Land collection of Kenneth Nebenzahl.",,,,cartographic image,Still Image,,,"1:1,350,000",E 33°15ʹ--E 38°40ʹ/N 35°00ʹ--N 29°00ʹ,American Geographical Society Library - Maps,,"1 map : colored ; 42 x 30 cm, on sheet 44 x 32 cm",(AGS0  Holy Land Maps 97,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",American Geographical Society Library Digital Map Collection,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am020952,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",18th-century map showing biblical Palestine with the twelve Israelite tribal territories and key regions marked.,,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/4335,4335,4326.jp2,/agdm/image/4326.jp2
20260817_agdm-export_Bbox-Subset.csv,"An international travel map, Argentina : scale 1:4,000,000",,Argentina 1995,,Multi Mapping Ltd.; ITMB Publishing Ltd.,,1995,International Travel Maps (Firm),National parks and reserves -- Argentina -- Maps; Argentina -- Maps,South America;,Argentina; Chile,,,,,"Relief shown by contours, gradient tints, and spot heights.; Legend in English, French, German, and Spanish.; Panel title.; Copyright: 1995 ITMB Pub.; Copyright: Design and cartography: Multi Mapping Ltd. ... Vancouver, B.C ...; Includes text, indexes to protected areas, lists of abbreviations and geographical equivalents, location map, and publisher's index map.; Publisher's no.: 235.",,,,cartographic image,Still Image,,Color,,W 81⁰--W 50⁰/S 21⁰--S 57⁰,American Geographical Society Library - Maps,,"1 map : color ; on sheet 98 x 69 cm, folded to 25 x 12 cm",251 A-1995,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am007600,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 1:4 million scale map of Argentina showing its national parks, reserves, and major geographic areas like mountains.",,2016-06-30,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6584,6584,6617.jp2,/agdm/image/6617.jp2
20260817_agdm-export_Bbox-Subset.csv,"Arizona's lost mines and ghost towns, frontier military forts / drawn by Larry Toschik",,Arizona 1963,,"Toschik, Larry ;",,1963,"Scottsdale, Ariz. : Cornwell and Cooper Enterprises",Extinct cities -- Arizona -- Maps; Mines and mineral resources -- Arizona -- Folklore -- Maps; Treasure troves -- Arizona -- Maps; Arizona -- Maps,North and Central America,United States,Arizona,,,,Relief shown by hachures. Pictorial map. Includes illustrations.,Available at: https://www.amazon.com/Arizona-Historic-State-Outline-Mines/dp/B09X21QQJL/ref=ast_sto_dp_puis?th=1,,,cartographic image;,Still Image,Maps,Color;,"1:1,200,000",W 114°49ʹ00ʺ--W 109°02ʹ00ʺ/N 37°00ʹ00ʺ--N 31°19ʹ00ʺ,American Geographical Society Library - Maps,https://wisconsin-uwm.primo.exlibrisgroup.com/permalink/01UWI_ML/1t3p5iu/alma9920563273402124,1 map : color ; 69 x 55 cm,811 B-1963,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am022143,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","Vintage Arizona map featuring lost mines, ghost towns, and old military forts.",,2017-05-11,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8297,8297,8285.tif,/agdm/image/8285.tif
20260817_agdm-export_Bbox-Subset.csv,"Bombay City / Joshi & Co., school map publishers",,"Mumbai, India 1947",,Joshi & Company,Shri Sidh Litho Works,1947,Bombay : Joshi & Co.,Mumbai (India) -- Maps,Asia,India,,,,Mumbai,Shows location of tramway stations and city divisions. Includes color illustrations around margins.,,,,cartographic image;,Still Image,Maps;,Color;,"1:28,800",E 72°47ʹ07ʺ--E 72°53ʹ13ʺ/N 19°03ʹ34ʺ--N 18°53ʹ17ʺ,American Geographical Society Library - Maps,,1 map : color ; 70 x 54 cm,430-d .M85 D-[1947],English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,agsmap023456,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","A 1947 Bombay City Township map shows trams, bus routes, roads, health wards, police grounds, and municipal sites.",,2017-06-16,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/10332,10332,10346.jp2,/agdm/image/10346.jp2
20260817_agdm-export_Bbox-Subset.csv,"Map illustrating the Anglo-Italian exchange of notes of 22nd Novr. 1933, relating to the boundary between Kenya & Italian Somaliland / compiled, drawn, vandyked and printed at W.O., 1934 ; published at the War Office 1934.",,Kenya 1934,,,,1934,Great Britain. War Office. General Staff. Geographical Section,Kenya -- Maps; Italian Somaliland -- Boundaries -- Kenya -- Maps; Kenya -- Boundaries -- Italian Somaliland -- Maps,Africa,Kenya,,,,,"Geographical Section, General Staff, No. 3934",,,,cartographic image;,Still Image,,Color;,"1:1,000,000",(E 40°37ʹ00ʺ--E 42°04ʹ00ʺ/N 4°19ʹ00ʺ--S 1°59ʹ00ʺ),American Geographical Society Library - Maps,https://wisconsin-uwm.primo.exlibrisgroup.com/permalink/01UWI_ML/1dmapte/alma991012614532702124,1 map : color ; 73 x 47 cm,352-c .W4 B-1934,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am009116c am009116,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",The 1934 official map depicts Kenya's boundary with Italian Somaliland as agreed between the two nations.,,2017-06-19,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/10429,10429,10365.jp2,/agdm/image/10365.jp2
20260817_agdm-export_Bbox-Subset.csv,Asien zur Ubersicht der naturlichen Bodenbeschaffenheit / entworfen & gezeichnet von Hermann Berghaus,,Asia 1867,,,,1867,"Justus Perthes (Firm : Gotha, Germany);",Asia -- Maps,Asia,,,,,,Stieler's Schul-Atlas no. 23. Relief shown by hachures and spot heights.,,,,cartographic image,Still image,Maps;,Color,"1:47,000,000",E 25°39ʹ00ʺ--W 169°41ʹ00ʺ/N 81°17ʹ00ʺ--S 10°55ʹ00ʺ,American Geographical Society Library - Maps,,1 map : color ; 22 x 27 cm,400 A-[1867],German,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am013701,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",An 1867 Hermann Berghaus map of Asia depicts its natural landscapes.,,2018-10-17,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/17476,17476,17484.jp2,/agdm/image/17484.jp2
20260817_agdm-export_Bbox-Subset.csv,"Seconde partie de la carte d'Asie contenant la Chine et partie de la Tartarie, l'Inde au dela du Gange, les Isles, Sumatra, Java, Borneo, Moluques, Philippines, et du Japon / publiee sous les auspices de Monseigneur Louis-Philippe d'Orleans ; par le Sr. D'Anville",,Asia 1752,,"Anville, Jean Baptiste Bourguignon d', 1697-1782",,1752,Paris : Chez l'Auteur aux Galerie du Louvre,Asia -- Maps,Asia,,,,,,"Relief shown pictorially. ""Avec privilege."" Includes seven bar scales. Appeared in Anville's Atlas général.",,,,cartographic image,Still image,Maps;,Color,"1:7,100,000",E 90°0ʹ--E 145°/N 48°30ʹ--N 8°30ʹ,American Geographical Society Library - Maps,,1 map on 2 sheets : colored ; sheets 55.2 x 81.8 cm,400 B-1752,French,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am013705,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","An 18th-century map displays Asia's Southeast region: China, Indonesia's islands (Java, Sumatra, Borneo, Moluques).",,2018-10-17,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/17482,17482,17480.jp2,/agdm/image/17480.jp2
20260817_agdm-export_Bbox-Subset.csv,"Carte des Indes Orientales dessinée suivant les Observations les plus recentes, dont le principal est tirée des Cartes hydrographiques de Mr. d'Après de Mannevillette / dressée par Mr. Tobie Mayer ; S. Dorn Fc.",,Asia 1748,,"Mayer, Tobias, 1723-1762",,1748,"Homann, Johann Baptist, 1663-1724",Asia -- Maps,Asia,,,,,,"Relief shown pictorially. Shows rhumb lines. Prime meridian: Paris. ""Avec Privilege imperial."" ""Dediee tres humblement a Son Altesse Serenissime Monsgr. le Prince Guillaume Charles Henry Friso, Souverain Prince d'Orange, Pr. de S.E. de Nassa, Stadthoudre hereditaire, Admiral & General Capit. des Provinces unies &c. & c, Chevalier de l'Ordre de Jarretiere, par ses tres humbles & tres soumis serviteurs l'Auteur & les. Heritiers de Homan, l'An 1748."" Bar scale in Mill. German., Mill. Gallica, Mill. Hispanica, and Leucae gall. f. Horae itin. Title cartouche shows coat of arms, nautical implements, armor, weapons, and musical instruments.",,"I. Feuille dans la quelle on represente les Indes deca la Riviere de Ganges, le Golfe de Bengale, Siam, Malacca, Sumatra -- II. Feuille, qui comprend les isles de Sonde, l'archipel des Philippines, & les isles Moluques.",,cartographic image,Still image,Maps;,Color,"1:10,000,000",E 66°06ʹ00ʺ--E 140°19ʹ00ʺ/N 30°00ʹ00ʺ--S 12°56ʹ00ʺ,American Geographical Society Library - Maps,,"1 map on 2 sheets : colored ; 48 x 85 cm, sheets 64 x 50 cm",400 A-1748 sheet 1 - sheet 2,French ; Latin,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am013725 am013726,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.",,,2018-10-18,2026-03-30,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/17491,17491,17497.cpd,/agdm/image/17497.cpd
20260817_agdm-export_Bbox-Subset.csv,"A Survey of Delagoa Bay; or Lorenzo Marques on the east coast of Africa / by the officers of H.M. Ships Leven & Barracouta, under the direction of Captn. W.F.W. Owen",,"Delagoa Bay, Mozambique 1827",,,,1827,London : Great Britain. Hydrographic Office ;,Mozambique -- Maps; Coasts -- Mozambique -- Maps;,Africa,Mozambique,,,,,Relief shown by hachures. Depths show by soundings. Includes notes.,,,,cartographic image,Still image,Maps;,Color,"1:150,000",E 32°23ʹ00ʺ--E 33°15ʹ00ʺ/S 25°35ʹ00ʺ--S 27°13ʹ00ʺ,American Geographical Society Library - Maps,,1 map : color ; 62 x 46 cm,368-c .E2 A-1827,English,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",University of Wisconsin-Milwaukee Libraries,https://uwm.edu/libraries/digital-collections/copyright-digcoll/,am013734,image/tif; Image/jp2,American Geographical Society Library Digital Map Collection,"Due to their file size, some maps may produce a proxy error when downloaded as a ""large"" file. In those cases, please contact us at digilib@uwm.edu to obtain a copy of the file.","Captain W.F.W. Owen's 1827 survey map of Delagoa Bay, created aboard HMS Leven and Barracouta.",,2018-10-18,2026-06-26,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/17527,17527,17492.jp2,/agdm/image/17492.jp2
