Title,Call Number,Description,Language,Creator,Provider,Resource Class,Resource Type,Theme,Temporal Coverage,Date Issued,Index Year,Spatial Coverage,Member Of,Geometry,Bounding Box,Rights,Access Rights,Format,Information,Download,Archive Filename,ID,Identifier,Modified,Metadata Version,Suppressed,Index Map,Alternative Title,Publisher,Subject,Is Part Of,License,Documentation,MapServer,IIIF,Manifest
"Voting Wards Milwaukee, Wisconsin 2026",,"This polygon data layer represents the 356 voting wards in the City of Milwaukee, Wisconsin as of September 17, 2026. Attributes identify each ward's aldermanic district and associated polling place and include polling-place address, entrance, accessibility, and parking information. The source portal states that ward redistricting occurs every ten years following the census and that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/voting-wards"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Election Commission,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070958,-87.863748,43.194770,42.920823)","ENVELOPE(-88.070958,-87.863748,43.194770,42.920823)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsz34tqft,https://geodata.uwm.edu/public/gmgsz34tqft/Milwaukee_VotingWards_2026.zip,Milwaukee_VotingWards_2026.zip,ark:-77981-gmgsz34tqft,ark:/77981/gmgsz34tqft,,Aardvark,false,,,City of Milwaukee Election Commission,Voting districts|Polling places|Elections,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/election/election_wards/MapServer/1,,
"Polling Places Milwaukee, Wisconsin 2026",,"This point data layer represents the 187 polling places in the City of Milwaukee, Wisconsin as of September 17, 2026. Attributes include polling-place name and address and information about entrances, accessibility, and parking. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/voting-wards"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Election Commission,American Geographical Society Library – UWM Libraries,Datasets,Point data,Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.061491,-87.875979,43.189996,42.936577)","ENVELOPE(-88.061491,-87.875979,43.189996,42.936577)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgstb2rf24,https://geodata.uwm.edu/public/gmgstb2rf24/Milwaukee_PollingPlaces_2026.zip,Milwaukee_PollingPlaces_2026.zip,ark:-77981-gmgstb2rf24,ark:/77981/gmgstb2rf24,,Aardvark,false,,,City of Milwaukee Election Commission,Polling places|Elections,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/election/election_wards/MapServer/0,,
"Tax Incremental Districts Milwaukee, Wisconsin 2026",,"This polygon data layer represents 135 tax incremental district features in the City of Milwaukee, Wisconsin as of September 17, 2026. Tax Incremental Financing is an economic development tool used by the City to leverage private development investment. Milwaukee has created more than 121 Tax Incremental Districts to support projects ranging from major business and infrastructure investments to neighborhood-scale development. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/tax-incremental-districts-tid"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of City Development,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Economy,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.061157,-87.889186,43.186397,42.945291)","ENVELOPE(-88.061157,-87.889186,43.186397,42.945291)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgspk0p4px,https://geodata.uwm.edu/public/gmgspk0p4px/Milwaukee_TaxIncrementalDistricts_2026.zip,Milwaukee_TaxIncrementalDistricts_2026.zip,ark:-77981-gmgspk0p4px,ark:/77981/gmgspk0p4px,,Aardvark,false,,"Tax Incremental Financing Districts Milwaukee, Wisconsin 2026",City of Milwaukee Department of City Development,Tax increment financing|Economic development|Special districts,,http://www.opendefinition.org/licenses/cc-by,https://city.milwaukee.gov/DCD/BusinessToolbox/bids/TaxIncrementalFinancing,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/planning/special_districts/MapServer/8,,
"Streetcar Stops Milwaukee, Wisconsin 2026",,"This point data layer represents Milwaukee streetcar stops. The source portal states that the dataset is updated as needed. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/street-car-stops"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of Public Works,American Geographical Society Library – UWM Libraries,Datasets,Point data,Transportation,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-87.916173,-87.896348,43.048455,43.034387)","ENVELOPE(-87.916173,-87.896348,43.048455,43.034387)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsjsxkv9b,https://geodata.uwm.edu/public/gmgsjsxkv9b/Milwaukee_StreetcarStops_2026.zip,Milwaukee_StreetcarStops_2026.zip,ark:-77981-gmgsjsxkv9b,ark:/77981/gmgsjsxkv9b,,Aardvark,false,,,City of Milwaukee Department of Public Works,Streetcar stops|Public transportation,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/DPW/DPW_streetcar/MapServer/0,,
"Streetcar Routes Milwaukee, Wisconsin 2026",,"This line data layer represents the initial 2.1-mile Milwaukee streetcar route connecting the Intermodal Station, Third Ward, East Town, and Lower East Side. The source portal states that the dataset is updated as needed. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/streetcar-route"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of Public Works,American Geographical Society Library – UWM Libraries,Datasets,Line data,Transportation,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-87.916120,-87.896274,43.048448,43.034320)","ENVELOPE(-87.916120,-87.896274,43.048448,43.034320)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsf1vhjxh,https://geodata.uwm.edu/public/gmgsf1vhjxh/Milwaukee_StreetcarRoutes_2026.zip,Milwaukee_StreetcarRoutes_2026.zip,ark:-77981-gmgsf1vhjxh,ark:/77981/gmgsf1vhjxh,,Aardvark,false,,,City of Milwaukee Department of Public Works,Streetcar routes|Public transportation,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/DPW/DPW_streetcar/MapServer/1,,
"Sixteenth Sections Milwaukee, Wisconsin 2026",,"This polygon data layer represents full sixteenth sections within and intersecting the City of Milwaukee corporate boundary. Attributes reference section and township divisions. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/sixteenth-sections"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of Public Works,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.082143,-87.832275,43.199535,42.914507)","ENVELOPE(-88.082143,-87.832275,43.199535,42.914507)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs98sf8jt,https://geodata.uwm.edu/public/gmgs98sf8jt/Milwaukee_SixteenthSections_2026.zip,Milwaukee_SixteenthSections_2026.zip,ark:-77981-gmgs98sf8jt,ark:/77981/gmgs98sf8jt,,Aardvark,false,,,City of Milwaukee Department of Public Works,Sixteenth sections|Public land survey system,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/reference/City_Sections/MapServer/1,,
"Quarter Sections Milwaukee County, Wisconsin 2026",,"This polygon data layer represents full quarter sections within Milwaukee County. The associated maps show engineering and tax information about parcels within the county and its municipalities. The source portal states that the dataset is updated as needed. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/quarter-sections"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of Public Works,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Property,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.082147,-87.832197,43.199535,42.914384)","ENVELOPE(-88.082147,-87.832197,43.199535,42.914384)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs5hqc054,https://geodata.uwm.edu/public/gmgs5hqc054/MilwaukeeCounty_QuarterSections_2026.zip,MilwaukeeCounty_QuarterSections_2026.zip,ark:-77981-gmgs5hqc054,ark:/77981/gmgs5hqc054,,Aardvark,false,,,City of Milwaukee Department of Public Works,Quarter sections|Public land survey system|Parcels,,http://www.opendefinition.org/licenses/cc-by,https://mapmkeonline.maps.arcgis.com/apps/webappviewer/index.html?id=7bce03a51f274843b5e8908f005ef9d2,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/reference/City_Sections/MapServer/0,,
"Opportunity Zones Milwaukee, Wisconsin 2026",,"This polygon data layer represents 34 Milwaukee Opportunity Zones. These designated economically challenged communities are part of a federal program providing favorable capital-gains tax treatment for qualifying investments. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/opportunity-zones"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of City Development,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Economy,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.063997,-87.897194,43.192553,42.944701)","ENVELOPE(-88.063997,-87.897194,43.192553,42.944701)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs1vhhmq4,https://geodata.uwm.edu/public/gmgs1vhhmq4/Milwaukee_OpportunityZones_2026.zip,Milwaukee_OpportunityZones_2026.zip,ark:-77981-gmgs1vhhmq4,ark:/77981/gmgs1vhhmq4,,Aardvark,false,,,City of Milwaukee Department of City Development,Opportunity zones|Economic development|Tax incentives,,http://www.opendefinition.org/licenses/cc-by,https://city.milwaukee.gov/DCD/CityRealEstate/OpportunityZones,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/AGO/Opportunity_Zones/MapServer/0,,
"Neighborhoods Milwaukee, Wisconsin 2026",,"This polygon data layer represents 190 City of Milwaukee neighborhoods defined through the Department of City Development's Milwaukee Neighborhood Identification Project of 2000. The boundaries consider subdivisions, streets, physical barriers, community participation, housing, historic areas, and residents' opinions. They are not official City boundaries, are not maintained continuously, and are not intended to match neighborhood-organization boundaries. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/neighborhoods"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Department of City Development,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070958,-87.863748,43.194770,42.920823)","ENVELOPE(-88.070958,-87.863748,43.194770,42.920823)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsx3fff42,https://geodata.uwm.edu/public/gmgsx3fff42/Milwaukee_Neighborhoods_2026.zip,Milwaukee_Neighborhoods_2026.zip,ark:-77981-gmgsx3fff42,ark:/77981/gmgsx3fff42,,Aardvark,false,,,City of Milwaukee Department of City Development,Neighborhoods,,http://www.opendefinition.org/licenses/cc-by,,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/planning/special_districts/MapServer/4,,
"Milwaukee Public School Board Districts Milwaukee, Wisconsin 2026",,"This polygon data layer represents the eight Milwaukee Public Schools board districts as of September 17, 2026. The source portal states that the dataset is refreshed nightly. The source shapefile is projected in NAD27 / Wisconsin South (EPSG:32054).|Original source: <a href=""https://data.milwaukee.gov/dataset/milwaukee-public-school-board-districts"">City of Milwaukee Open Data Portal</a>.",eng,City of Milwaukee Information Technology and Management Division,American Geographical Society Library – UWM Libraries,Datasets,Polygon data,Boundaries|Society,2026,2026,2026,Milwaukee|Wisconsin|United States,,"ENVELOPE(-88.070958,-87.863748,43.194770,42.920823)","ENVELOPE(-88.070958,-87.863748,43.194770,42.920823)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgssbcc4rv,https://geodata.uwm.edu/public/gmgssbcc4rv/Milwaukee_PublicSchoolBoardDistricts_2026.zip,Milwaukee_PublicSchoolBoardDistricts_2026.zip,ark:-77981-gmgssbcc4rv,ark:/77981/gmgssbcc4rv,,Aardvark,false,,,City of Milwaukee Information Technology and Management Division,School board districts|School districts,,http://www.opendefinition.org/licenses/cc-by,https://mps.milwaukee.k12.wi.us/en/District/About-MPS/School-Board/Find-Your-Board-Member.htm,https://milwaukeemaps.milwaukee.gov/arcgis/rest/services/AGO/MPS_School_Districts/MapServer/1,,
